name,lat,lon,rain_mm
가덕도,35.0582121,128.8068334,1405.4
가평조종,37.848577,127.3625446,1440.1
간성,36.0701683,126.9184897,1387.7
간절곶,35.3592125,129.3617851,1410.9
강릉,37.76452,128.8993979,1391.3
강진군,34.641917,126.7669591,1430.7
강화,37.7476413,126.4734179,1144.6
거문도,34.0267908,127.3168075,1443.2
거제,35.1890712,129.0738811,1999.7
거창,35.7059427,128.0578476,1240.7
경기광주,37.4290844,127.255189,1362.1
경산,35.8193291,128.7276119,1114.1
경주시,35.8556705,129.2248811,1121.2
계룡,36.2724063,127.2665313,1383.1
고령,35.7607959,128.3711558,1266.7
고산,33.2912148,126.1692498,1218.5
고성,37.002775,129.3746127,1560.7
고양,37.643033,126.7905105,1179.0
고창,36.0892696,126.8866027,1225.5
고흥,34.760769,126.3982478,1533.7
곡성,35.2834557,127.3044579,1402.2
공주,36.3322371,127.0966368,1197.4
과천,37.4330744,126.9969576,1276.2
광명,37.41638,126.8846978,1206.7
광산,35.1396428,126.7938232,1319.1
광양읍,34.9732493,127.5810068,1509.3
광주,35.1594647,126.8515034,1347.1
괴산,34.90203,126.06834,1208.7
구례,35.2099898,127.4698579,1326.6
구리,37.6032517,127.1433747,1281.1
구미,36.1283119,128.3310455,1132.0
군산,35.9993608,126.7602959,1265.4
군위,36.1554962,128.5591194,936.0
군포,37.3535747,126.9484606,1271.8
금곡,35.2673839,129.0168673,1072.5
금산,37.5178778,126.5214972,1267.0
기장,35.2444351,129.2188738,1464.2
김제,35.7931619,126.9042184,1179.5
김천,36.1238437,128.115032,1084.2
김포,37.5590077,126.7942403,1068.4
김해시,35.2310947,128.8908228,1375.2
나주,35.0139274,126.7174847,1404.5
남양주,37.6359398,127.2165051,1312.5
남원,35.4112509,127.3613332,1339.6
남해,34.8387666,127.892405,2002.3
논산,36.2069077,127.0928492,1221.1
단양,36.9731041,128.34404,1059.8
달성,36.0562754,129.2419345,1120.2
담양,35.3211872,126.9882416,1381.4
당진,36.989166,126.7068581,1063.1
대관령,37.6871232,128.7604146,1329.1
대구,35.8713,128.6018,1110.1
대전,36.3497007,127.3849016,1291.2
동두천,37.9278263,127.0547822,1314.5
동래,35.2052,129.0837,1465.8
동해,37.4975753,129.1226016,1237.8
목포,34.7921339,126.3876448,1193.9
무안,34.9627975,126.5175783,1244.9
무주,36.0121049,127.6692373,1116.4
문경,36.7202622,128.110201,1273.0
문화,36.3096166,127.4067267,1308.4
밀양,35.4748507,128.7714177,1214.5
백령도,37.9498034,124.6724295,749.2
보령,36.3356813,126.6047592,1135.4
보성,34.7667691,127.0821389,1644.6
보은,35.5093709,129.1434682,1320.3
봉화,36.8914813,128.7268956,1089.2
부산,35.1799528,129.0752365,1614.1
부산남구,35.1361,129.0843999,1613.8
부산진,35.1632335,129.0529462,1613.9
부안,35.7264751,126.7377401,1213.6
부여,36.2860995,126.9225138,1310.5
부천,37.4841098,126.7827347,1135.4
부평,37.5070221,126.7220068,1142.6
북구,35.1969,128.9901999,1349.8
사북,37.2261666,128.8170335,1257.1
산청,34.8875479,127.5750107,1592.8
삼척,37.4298811,129.1785881,1224.6
삼천포,34.9355,128.0825,1462.6
상주,36.41032,128.1637683,1157.6
서구,36.3551786,127.3838487,1125.1
서귀포,33.2568662,126.5624311,2089.3
서산,35.9344056,129.279525,1156.5
서천,36.0821954,126.7084727,1236.9
성남,37.3946908,127.1194122,1253.3
성산,33.41805,126.88147,2156.6
성주,36.023424,126.700316,1145.8
성판악,33.3851,126.6204404,4529.1
세종연서,36.581283,127.2457914,1152.8
세천,36.3250354,127.4907834,1248.9
속초,38.2039506,128.5630404,1397.7
수원,37.2662775,127.0004098,1294.1
순창군,35.3741,127.1374,1436.7
순천시,34.9505457,127.4872992,1549.9
시흥,37.4548492,126.90484,1160.4
아산,36.7920971,127.1044526,1083.9
안동,36.5745833,128.6748747,1002.4
안산,37.3270474,126.7887966,1103.3
안성,37.0135086,127.1448005,1181.2
안양,37.4016302,126.9228826,1253.9
압해도,34.8679057,126.2977612,1203.0
양구,37.7271195,126.3806763,1145.1
양산시,35.3349979,129.0370582,1504.0
양양,38.084794,128.6291232,1363.1
양주,37.7742,127.044756,1195.3
양평,37.4928474,127.4918972,1289.0
여수,34.7530343,127.748804,1499.9
여주,37.2828814,127.6286055,1129.6
연천청산,38.01482,127.10581,1232.5
영광군,35.2769282,126.5124504,1300.1
영덕,36.4102544,129.3783288,1113.4
영도,35.0908,129.0678,1544.9
영암,34.7587417,126.530939,1247.1
영양,35.019697,126.7125254,1009.1
영월,37.1821719,128.4809263,1174.8
영주,36.8109445,128.625578,1267.5
영천,35.9590454,128.9388909,1076.1
예산,36.6871147,126.8284677,1136.0
예천,36.6473156,128.4436945,978.2
오산,37.145558,127.0667523,1171.5
옥천,34.9609892,127.4545595,1187.2
완도,34.3448887,126.6910588,1508.6
완주,35.9273058,127.1673071,1339.3
용인,37.4142735,127.0843471,1268.9
울기,35.4927864,129.4424039,1272.1
울릉도,37.5011143,130.8586064,1541.0
울산,35.5391697,129.3119136,1278.3
울진,36.9817408,129.395474,1198.3
원주,37.3164083,127.9228206,1203.0
음성,36.9257112,127.7039449,1121.9
의령군,35.322003,128.2617827,1355.0
의성,36.35336,128.693128,920.5
의왕,37.3209981,126.9480341,1306.7
의정부,37.7377035,127.0460501,1331.9
이천,37.2642411,127.4422242,1258.7
익산,35.9412564,126.9459134,1169.7
인제,35.250061,128.9020135,1141.2
인천,37.456,126.7052,1102.7
인천연수,37.4098,126.6787,1083.3
임실,35.6329664,127.2898846,1347.9
장동,36.4047518,127.4426929,1248.5
장성,35.3001204,126.7796823,1374.5
장수,37.4833331,127.0346947,1529.9
장흥,37.7186862,126.9416098,1433.0
전주,35.8500537,127.1623649,1280.6
정선군,37.380456,128.6609485,1126.6
정읍,35.5757734,126.8419169,1292.9
정자,37.3666515,127.1084366,1257.1
제주,33.4887737,126.4987083,1520.7
제천,37.1270743,128.2059637,1275.0
조선대,35.1412134,126.9303491,1339.6
증평,36.778052,127.583969,1163.7
진도군,34.4867515,126.2629264,1392.8
진부령,38.265012,128.3590278,1820.5
진안,35.1846415,128.3528872,1381.2
진주,35.1501201,128.1183494,1537.1
진천,35.8138089,128.5226535,1227.4
창녕,34.9204533,127.3871993,1187.0
창원,35.2581253,128.6070336,1436.2
천안,36.8102804,127.14684,1178.8
철원,38.2109138,127.2116357,1308.0
청도,35.6398546,128.7461654,1229.0
청송군,36.4358,129.0571,967.2
청양,36.489543,127.2563712,1310.8
청주,36.6471132,127.3923613,1194.1
추자도,33.9592804,126.3005835,1134.3
추풍령,36.2128103,127.9963927,1184.5
춘천,37.8845604,127.716664,1295.4
충주,36.9752571,127.9080675,1168.0
칠곡,37.0409756,127.1592622,1089.0
태백,37.1760942,128.9842311,1273.9
태안,36.8686492,126.2799776,1130.3
통영,34.7748326,127.7241698,1664.5
파주,37.8150577,126.7924283,1196.3
평창,37.5619574,128.4300343,1166.2
평택,36.9908233,127.0853183,1106.3
포천,38.0079499,127.3356714,1272.4
포항,36.0712333,129.3426784,1172.5
풍암,35.1242195,126.8751119,1357.8
하남,35.1727132,126.7974487,944.8
하동,35.0638799,127.7616118,1770.8
함안,35.2891113,128.3884879,1322.3
함양군,35.5204145,127.7252966,1325.1
함평,35.0236844,126.5390794,1401.5
합천,35.1770278,128.8152507,1394.9
해남,34.6369981,126.6372997,1269.3
해운대,35.1629,129.1638,1582.7
홍북,36.6449088,126.6970149,1229.6
홍천,37.6983221,127.891168,1153.0
화성,37.5660872,127.0661533,1097.5
화순,35.0513137,126.9631644,1372.1
화천,37.3412869,127.9701514,1176.7
횡성,37.4828074,128.0104835,1175.2
흑산도,34.6608507,125.4060994,1155.4
